Permutation 1: 1 2 3 4 
Permutation 2: 1 2 4 3 
Permutation 3: 1 3 2 4 
Permutation 4: 1 3 4 2 
Permutation 5: 1 4 2 3 
Permutation 6: 1 4 3 2 
Permutation 7: 2 1 3 4 
Permutation 8: 2 1 4 3 
Permutation 9: 2 3 1 4 
Permutation 10: 2 3 4 1 
Permutation 11: 2 4 1 3 
Permutation 12: 2 4 3 1 
Permutation 13: 3 1 2 4 
Permutation 14: 3 1 4 2 
Permutation 15: 3 2 1 4 
Permutation 16: 3 2 4 1 
Permutation 17: 3 4 1 2 
Permutation 18: 3 4 2 1 
Permutation 19: 4 1 2 3 
Permutation 20: 4 1 3 2 
Permutation 21: 4 2 1 3 
Permutation 22: 4 2 3 1 
Permutation 23: 4 3 1 2 
Permutation 24: 4 3 2 1 
