Size        Heap Sort     Counting Sort      Bubble Sort
50000       0.010162        0.000871            7.575971 
100000      0.021986        0.001238            33.679306 
150000      0.034530        0.001442            78.192545  
200000      0.047696        0.001883            119.620864
250000      0.061676        0.002289            169.269565
300000      0.075790        0.002713            263.858794
350000      0.091712        0.003116            341.773051
400000      0.105020        0.003557            433.826454
450000      0.120430        0.003858            544.842731 
500000      0.136565        0.004314            674.158910
550000      0.150611        0.004707            813.961220
600000      0.168015        0.005189            970.628471
650000      0.184129        0.005833            1137.967480
700000      0.201499        0.005745            1318.334912
750000      0.216722        0.006131            1515.570592
800000      0.233270        0.006982            1723.768434
850000      0.247083        0.007092            1945.493696
900000      0.264491        0.007439            2181.251365
950000      0.284503        0.007627            2432.531904
1000000     0.302629        0.007832            2696.488595
