Elements	BubbleSort	QuickSort
256		0.000062	0.000109
383		0.000153	0.000259
510		0.000253	0.000434
637		0.000381	0.000680
764		0.000582	0.000969
891		0.000754	0.001302
1018		0.000988	0.001689
1145		0.001261	0.002145
1272		0.001552	0.002647
1399		0.001864	0.003212
1526		0.002206	0.003795
1653		0.002593	0.004468
1780		0.003027	0.005194
1907		0.003480	0.005901
2034		0.003954	0.006748
2161		0.004457	0.007565
2288		0.004986	0.008496
2415		0.005795	0.009557
2542		0.006332	0.010501
2669		0.006812	0.011664
2796		0.007579	0.012867
2923		0.008116	0.013845
3050		0.008855	0.015153
3177		0.009649	0.016241
3304		0.010541	0.018064
3431		0.011527	0.019519
3558		0.011969	0.020357
3685		0.012839	0.022226
3812		0.013779	0.023531
3939		0.014741	0.025073
4066		0.015750	0.026807
4193		0.016785	0.028512
4320		0.017848	0.030394
4447		0.018924	0.032116
4574		0.020034	0.033844
4701		0.020880	0.035977
4828		0.022163	0.037569
4955		0.023232	0.039970
5082		0.024583	0.041873
5209		0.025909	0.043883
5336		0.027119	0.046995
5463		0.028314	0.048176
5590		0.029582	0.051097
5717		0.031090	0.053752
5844		0.032317	0.054977
5971		0.033801	0.057627
6098		0.035460	0.060964
6225		0.037952	0.065611
6352		0.039860	0.065071
6479		0.039757	0.068825
6606		0.042056	0.070613
6733		0.042817	0.072941
6860		0.044744	0.076162
6987		0.046783	0.078982
7114		0.048816	0.082385
7241		0.049788	0.085168
7368		0.051510	0.087931
7495		0.053517	0.091028
7622		0.055300	0.094216
7749		0.057160	0.096945
7876		0.059283	0.100655
8003		0.060592	0.103593
8130		0.062981	0.106694
8257		0.064975	0.110163
8384		0.067059	0.113830
8511		0.069003	0.116879
8638		0.070804	0.120953
8765		0.073117	0.124183
8892		0.076263	0.127960
9019		0.077484	0.132637
9146		0.079555	0.135004
9273		0.082959	0.139067
9400		0.084384	0.143200
9527		0.086296	0.146937
9654		0.088410	0.150822
9781		0.091021	0.154158
9908		0.093575	0.159452
10035		0.096056	0.162738
10162		0.098728	0.167125
10289		0.101395	0.171072
10416		0.103472	0.175694
10543		0.105504	0.181938
10670		0.108416	0.184076
10797		0.110798	0.188519
10924		0.113654	0.193155
11051		0.115882	0.197060
11178		0.119196	0.201361
11305		0.121988	0.206206
11432		0.125349	0.211518
11559		0.127708	0.215277
11686		0.130128	0.220215
11813		0.132902	0.225295
11940		0.136113	0.230648
12067		0.138761	0.241071
12194		0.141680	0.240322
12321		0.145922	0.247708
12448		0.147305	0.251530
12575		0.152406	0.254006
12702		0.153256	0.261331
12829		0.155951	0.264321
12956		0.161299	0.270908
13083		0.165068	0.275740
13210		0.166514	0.281441
13337		0.169920	0.287789
13464		0.173292	0.291213
13591		0.175245	0.296943
13718		0.179163	0.304695
13845		0.219988	0.307949
13972		0.185879	0.313971
14099		0.189236	0.320038
14226		0.192640	0.326006
14353		0.196031	0.331720
14480		0.199474	0.336872
14607		0.203148	0.343378
14734		0.206518	0.349725
14861		0.210765	0.355291
14988		0.214804	0.362003
15115		0.218109	0.367091
15242		0.221239	0.373255
15369		0.224623	0.380118
15496		0.229639	0.386417
