Elements	BubbleSort	QuickSort
256		    0.000119	0.000018
383		    0.000275	0.000027
510		    0.000473	0.000037
637		    0.000721	0.000074
764		    0.001026	0.000062
891		    0.001356	0.000070
1018		0.001779	0.000094
1145		0.002202	0.000095
1272		0.002770	0.000108
1399		0.003311	0.000119
1526		0.003966	0.000135
1653		0.004616	0.000141
1780		0.005289	0.000162
1907		0.006090	0.000178
2034		0.006887	0.000182
2161		0.007798	0.000194
2288		0.008841	0.000211
2415		0.009736	0.000217
2542		0.011050	0.000240
2669		0.011985	0.000269
2796		0.013375	0.000256
2923		0.014483	0.000288
3050		0.016009	0.000300
3177		0.017414	0.000296
3304		0.018863	0.000325
3431		0.020653	0.000371
3558		0.022283	0.000355
3685		0.023814	0.000356
3812		0.025656	0.000397
3939		0.027686	0.000400
4066		0.029549	0.000411
4193		0.031795	0.000429
4320		0.033437	0.000429
4447		0.035908	0.000432
4574		0.038137	0.000454
4701		0.040355	0.000482
4828		0.041936	0.000508
4955		0.046734	0.000491
5082		0.048740	0.000515
5209		0.050804	0.000520
5336		0.052982	0.000555
5463		0.056735	0.000566
5590		0.059274	0.000583
5717		0.062209	0.000574
5844		0.065427	0.000602
5971		0.067973	0.000625
6098		0.071079	0.000630
6225		0.074627	0.000644
6352		0.077906	0.000673
6479		0.081674	0.000702
6606		0.085675	0.000696
6733		0.088664	0.000726
6860		0.092940	0.000736
6987		0.095203	0.000730
7114		0.103412	0.000749
7241		0.104296	0.000800
7368		0.109016	0.000788
7495		0.117223	0.000771
7622		0.118284	0.000854
7749		0.128939	0.000838
7876		0.126061	0.000860
8003		0.129343	0.000856
8130		0.135402	0.000890
8257		0.139485	0.000912
8384		0.143791	0.001101
8511		0.147351	0.000906
8638		0.153141	0.000931
8765		0.159387	0.000969
8892		0.163394	0.000964
9019		0.169013	0.000995
9146		0.173666	0.001016
9273		0.177216	0.001032
9400		0.183547	0.001025
9527		0.190718	0.001036
9654		0.193596	0.001089
9781		0.201791	0.001103
9908		0.204775	0.001085
10035		0.211633	0.001133
10162		0.217392	0.001091
10289		0.225219	0.001120
10416		0.229754	0.001132
10543		0.234801	0.001172
10670		0.240959	0.001163
10797		0.247755	0.001191
10924		0.253697	0.001278
11051		0.259744	0.001213
11178		0.262773	0.001269
11305		0.272889	0.001289
11432		0.277481	0.001290
11559		0.285923	0.001294
11686		0.294836	0.001269
11813		0.302263	0.001328
11940		0.308088	0.001346
12067		0.315637	0.001371
12194		0.321239	0.001380
12321		0.327360	0.001385
12448		0.336320	0.001374
12575		0.343792	0.001428
12702		0.348021	0.001473
12829		0.359788	0.001446
12956		0.362575	0.001444
13083		0.371744	0.001483
13210		0.380663	0.001475
13337		0.387604	0.001514
13464		0.395247	0.001557
13591		0.405560	0.001537
13718		0.414874	0.001629
13845		0.424056	0.001542
13972		0.437596	0.001541
14099		0.447340	0.001586
14226		0.446948	0.001639
14353		0.454683	0.001664
14480		0.462292	0.001707
14607		0.471839	0.001680
14734		0.483120	0.001708
14861		0.489465	0.001696
14988		0.500812	0.001726
