Elements	BubbleSort	QuickSort
256		    0.000108	0.000160
383		    0.000255	0.000354
510		    0.000427	0.000615
637		    0.000677	0.000949
764		    0.000988	0.001364
891		    0.001352	0.001845
1018		0.001756	0.002360
1145		0.002193	0.003020
1272		0.002682	0.003690
1399		0.003312	0.004425
1526		0.003835	0.005257
1653		0.004513	0.006215
1780		0.005245	0.007112
1907		0.006060	0.008301
2034		0.006892	0.009383
2161		0.007727	0.010512
2288		0.008659	0.011783
2415		0.009634	0.013083
2542		0.010688	0.014489
2669		0.011752	0.016007
2796		0.012970	0.017705
2923		0.014260	0.019288
3050		0.015484	0.020939
3177		0.016770	0.022681
3304		0.018120	0.024779
3431		0.019534	0.026589
3558		0.021008	0.028338
3685		0.022632	0.030754
3812		0.024303	0.032964
3939		0.025909	0.034830
4066		0.027317	0.037393
4193		0.029215	0.039542
4320		0.030798	0.042157
4447		0.032859	0.044306
4574		0.034594	0.047022
4701		0.036660	0.070596
4828		0.045025	0.053263
4955		0.041187	0.055724
5082		0.042951	0.058159
5209		0.045077	0.061691
5336		0.047294	0.063751
5463		0.049343	0.067606
5590		0.052454	0.070530
5717		0.053901	0.073675
5844		0.056555	0.077110
5971		0.059251	0.079971
6098		0.061567	0.083947
6225		0.064110	0.087045
6352		0.066715	0.090829
6479		0.073986	0.096320
6606		0.077691	0.098458
6733		0.075168	0.102084
6860		0.078415	0.107271
6987		0.081290	0.110626
7114		0.084276	0.114134
7241		0.087271	0.117441
7368		0.090412	0.122646
7495		0.093235	0.126753
7622		0.096625	0.130620
7749		0.099747	0.135552
7876		0.102986	0.139930
8003		0.107229	0.144199
8130		0.110149	0.148943
8257		0.113155	0.153265
8384		0.116807	0.157906
8511		0.119583	0.162441
8638		0.123740	0.168217
8765		0.127446	0.173262
8892		0.131678	0.177667
9019		0.134335	0.182476
9146		0.138455	0.188430
9273		0.143978	0.193173
9400		0.146677	0.199625
9527		0.153100	0.204161
9654		0.154649	0.210386
9781		0.159810	0.224926
9908		0.169995	0.219614
10035		0.176537	0.226266
10162		0.171565	0.231344
10289		0.177322	0.237619
10416		0.179433	0.243190
10543		0.183740	0.250365
10670		0.192512	0.256125
10797		0.193907	0.262278
10924		0.200986	0.269118
11051		0.206798	0.274006
11178		0.208826	0.281199
11305		0.228599	0.285449
11432		0.216939	0.292442
11559		0.221595	0.299097
11686		0.227585	0.305797
11813		0.231012	0.314172
11940		0.240626	0.320133
12067		0.247154	0.327271
12194		0.247676	0.333370
12321		0.252391	0.343664
12448		0.262273	0.352131
12575		0.265251	0.355799
12702		0.284425	0.364843
12829		0.274133	0.388312
12956		0.285040	0.395560
13083		0.286053	0.385337
13210		0.290514	0.389228
13337		0.307945	0.399870
13464		0.299661	0.404267
13591		0.304793	0.411326
13718		0.310769	0.423780
13845		0.316286	0.426880
13972		0.321793	0.440046
14099		0.332294	0.442403
14226		0.335720	0.451535
14353		0.339308	0.462789
14480		0.347570	0.518942
14607		0.355850	0.477617
14734		0.362511	0.492274
14861		0.375190	0.528212
14988		0.376721	0.505275
15115		0.394342	0.517607
15242		0.392924	0.523759
15369		0.394998	0.532679
15496		0.403796	0.551154
15623		0.420183	0.552415
15750		0.427256	0.558343
15877		0.420714	0.568180
16004		0.429073	0.578263
16131		0.434694	0.585468
16258		0.450536	0.593672
16385		0.450029	0.603837
16512		0.456299	0.612895
16639		0.479014	0.622561
16766		0.470291	0.654277
16893		0.485027	0.644823
17020		0.485543	0.657058
17147		0.492553	0.661613
17274		0.498719	0.676060
17401		0.519764	0.703425
17528		0.518862	0.699873
17655		0.539978	0.706732
17782		0.529171	0.721164
17909		0.553759	0.722664
18036		0.544291	0.728010
18163		0.596341	0.737394
18290		0.555938	0.751961
18417		0.573514	0.760781
18544		0.574265	0.776518
18671		0.585652	0.788067
18798		0.598136	0.800290
18925		0.600165	0.806036
19052		0.608529	0.819735
19179		0.621903	0.828241
19306		0.625302	0.845609
19433		0.631004	0.850475
19560		0.642789	0.861448
19687		0.648969	0.871977
19814		0.664252	0.885373
19941		0.671062	0.901736
20068		0.675790	0.912878
20195		0.682769	0.917858
20322		0.704502	0.940895
20449		0.710638	0.945269
20576		0.705326	0.950588
20703		0.719915	0.965821
20830		0.718193	0.969854
20957		0.730429	0.978102
21084		0.739338	1.011701
21211		0.776920	1.018243
21338		0.756611	1.033098
21465		0.766486	1.034102
21592		0.780783	1.043920
21719		0.792244	1.062262
21846		0.796336	1.078874
21973		0.805730	1.075326
22100		0.810890	1.096859
22227		0.823053	1.106418
22354		0.844588	1.112192
22481		0.841587	1.130781
22608		0.850241	1.142715
22735		0.906616	1.195374
22862		0.875674	1.170772
22989		0.879954	1.195954
23116		0.907197	1.202462
23243		0.904472	1.215204
23370		0.918857	1.253348
23497		0.922498	1.235475
23624		0.934627	1.265831
23751		0.940810	1.269737
23878		0.950239	1.274998
24005		0.990030	1.302528
24132		0.993915	1.312816
24259		0.983537	1.323722
24386		0.995559	1.340718
24513		1.007950	1.371459
24640		1.024425	1.369734
24767		1.033004	1.401608
24894		1.049192	1.399295
25021		1.072619	1.441253
25148		1.065034	1.432179
25275		1.073972	1.439021
25402		1.101573	1.473886
25529		1.091507	1.468947
25656		1.103940	1.486142
25783		1.113344	1.498732
25910		1.124504	1.508313
26037		1.140257	1.528222
26164		1.147196	1.543049
26291		1.160115	1.558119
26418		1.169030	1.571687
26545		1.183423	1.587553
26672		1.190780	1.601654
26799		1.203190	1.619935
26926		1.221797	1.640423
27053		1.230888	1.649602
27180		1.247974	1.661179
27307		1.248567	1.677652
27434		1.280099	1.696838
27561		1.270385	1.715094
27688		1.280608	1.725537
27815		1.294167	1.726447
27942		1.313210	1.747983
28069		1.334388	1.766161
28196		1.340156	1.812981
28323		1.351509	1.798990
28450		1.358531	1.823355
28577		1.370581	1.839835
28704		1.405994	1.851260
28831		1.393783	1.870952
28958		1.407913	1.889422
29085		1.422398	1.914378
29212		1.435157	1.930398
29339		1.442570	1.939021
29466		1.463349	1.957092
29593		1.469448	1.975593
29720		1.480914	1.988617
29847		1.506660	2.008803
29974		1.519126	2.067667
30101		1.542768	2.069237
30228		1.533604	2.059745
30355		1.551478	2.078945
30482		1.558032	2.090722
30609		1.576405	2.128183
30736		1.588172	2.130777
30863		1.612066	2.138044
30990		1.616279	2.154700
31117		1.634616	2.202949
31244		1.638104	2.200542
31371		1.731521	2.225988
31498		1.687399	2.310651
31625		1.682826	2.259725
31752		1.694880	2.271849
31879		1.705882	2.304358
32006		1.719839	2.307819
32133		1.733911	2.333058
32260		1.769867	2.358320
32387		1.792069	2.401414
32514		1.785843	2.410137
32641		1.789708	2.456790
32768		1.811741	2.417339
